Method,In-Scope Queries,Hit@1,Hit@3,Hit@5,Hit@10,MRR,Recall@5,Recall@10,Avg Latency (ms),Failures (Hit@5=0)
BM25,145,0.5241,0.7517,0.8069,0.8828,0.6529,0.7993,0.8814,0.68,28
DENSE,145,0.6000,0.7655,0.7931,0.8345,0.6897,0.7876,0.8317,172.85,30
HYBRID,145,0.6552,0.8069,0.8621,0.9034,0.7451,0.8593,0.8972,181.98,20
